QuesID,ID,unite?,VarID,VarID-condnsd,VarName,Field/Question,Drop
41,747,1,165,88,CmpltnssExtntTypeComm,,1
42,751,1,166,89,CmpltnssRes,QID 023 What is the estimated completeness of the resolution of the data element?,0
42,752,1,167,,,,1
42,753,1,168,,,,1
42,754,1,169,,,,1
42,755,1,170,,,,1
42,756,1,171,,,,1
43,801,1,172,90,AccessType,QID 004 Is the data element publicly sharable?,0
43,802,1,173,,,,1
43,803,1,174,,,,1
44,811,1,175,91,AccessOSDL,QID 025 Do users have access to the data element via Oregon Spatial Data Library?,0
44,812,1,176,,,,1
44,813,1,177,,,,1
44,814,1,178,,,,1
44,815,1,179,,,,1
44,816,1,180,,,,1
44,817,1,181,,,,1
44,818,1,182,92,AccessOSDLComm,,1
45,821,1,183,93,OSDLErr,QID 025.2 Is the Oregon Spatial Data Library record for this data element fully correct?,0
45,822,1,184,94,OSDLErrComm,,1
46,831,1,185,95,AccessProc,QID 025.1 What is the process for accessing the data element?,0
46,832,1,186,,,,1
46,833,1,187,,,,1
46,834,1,188,,,,1
46,835,1,189,,,,1
46,836,1,190,,,,1
46,837,1,191,96,AccessProcComm,,1
47,901,1,192,97,StwdProc,QID 026 Is there a stewardship process in place for this dataset?,0
47,902,1,193,,,,1
47,903,1,194,,,,1
47,904,1,195,,,,1
47,905,1,196,,,,1
47,906,1,197,98,StwdProcComm,,1
48,911,1,198,99,StwdProcType,QID 027 Please select the closest description to the existing stewardship process.,0
48,912,1,199,,,,1
48,913,1,200,,,,1
48,914,1,201,,,,1
48,915,1,202,,,,1
48,916,1,203,,,,1
48,917,1,204,,,,1
49,921,1,205,100,QAQCProc,QID 028 Is there a quality assurance/quality control (QA/QC) process as part of this dataset?s maintenance? ,0
49,922,1,206,,,,1
49,923,1,207,,,,1
49,924,1,208,,,,1
49,925,1,209,,,,1
49,926,1,210,,,,1
50,931,1,211,101,HrzIntProc,QID 103 Are there procedures in place for meeting the horizontal integration needs of users?,0
50,932,1,212,,,,1
50,933,1,213,,,,1
50,934,1,214,,,,1
50,935,1,215,,,,1
50,936,1,216,,,,1
50,937,0,217,102,HrzIntProcComm,,1
51,941,1,218,103,VrtIntProc,QID 104 Are there procedures in place for meeting the vertical integration needs of users?,0
51,942,1,219,,,,1
51,943,1,220,,,,1
51,944,1,221,,,,1
51,945,1,222,,,,1
51,946,1,223,,,,1
51,947,0,224,,,,1
51,948,0,225,104,VrtIntProcComm,,1
52,1001,1,226,105,EvalNeed,QID 029 Is there a process to determine if the dataset meets user needs?,0
52,1002,1,227,,,,1
52,1003,1,228,,,,1
52,1004,1,229,,,,1
52,1005,1,230,,,,1
52,1006,1,231,,,,1
52,1007,0,232,106,EvalNeedComm,,1
53,1011,1,233,107,TechXferProc,QID 030 Is there a process to provide users information on how to evaluate and properly use the dataset?,0
53,1012,1,234,,,,1
53,1013,1,235,,,,1
53,1014,1,236,,,,1
53,1015,1,237,,,,1
53,1016,1,238,,,,1
53,1017,0,239,108,TechXferProcComm,,1
54,1101,1,240,109,AppraisProc,QID 031 (optional) Is there an appraising process for the dataset?,0
54,1102,1,241,,,,1
54,1103,1,242,,,,1
54,1104,1,243,,,,1
54,1105,1,244,,,,1
54,1106,1,245,,,,1
54,1107,0,246,110,AppraisProcComm,,1
55,1111,1,247,111,ArchvLoc,QID 032 (optional) Where is the digital data being archived?,0
55,1112,1,248,,,,1
55,1113,1,249,,,,1
55,1114,1,250,,,,1
55,1115,1,251,,,,1
55,1116,0,252,112,ArchvLocComm,,1
56,1201,0,253,113,ReviewrName,Contact information for the reviewer,1
56,1202,0,254,114,ReviewrOrg,,1
56,1203,0,255,115,ReviewrAddress,,1
56,1204,0,256,116,ReviewrAddress2,,1
56,1205,0,257,117,ReviewrCity,,1
56,1206,0,258,118,ReviewrState,,1
56,1207,0,259,119,ReviewrZIP,,1
56,1208,0,260,120,ReviewrCountry,,1
56,1209,0,261,121,ReviewrEmail,,1
56,1210,0,262,122,ReviewrPHone,,1
57,1220,1,263,123,WantCopy,Would you like a copy of your responses emailed to you?,1
57,1221,1,264,,,,1
58,1222,1,265,124,CopyFormat,In what format would you like to receive your responses>,1
58,1223,1,266,,,,1
58,1224,1,267,,,,1
58,1225,1,268,,,,1
