MaturityVar,QuesID,ID,xlsCol,,xlsCol,unite?,VarID,VarID-condnsd,VarName,Field/Question,Response/Response Type,CatID,labelCode,label,PointValue,DataType,RObjectType,Definition,Question & responses (don't use),Comments,Cleaning need
0,25,441,B,O,BO,0,67,52,FundSecType,Select the secondary funder(s),Directed appropriation(s): Funding signed into law by the Oregon Legislature for a specific program that supports this data element or for the data element itself.,400,1,Directed appropriation(s),,string,text,,Directed appropriation(s): Funding signed into law by the Oregon Legislature for a specific program that supports this data element or for the data element itself.,,
0,25,442,B,P,BP,0,68,53,,,Federal agency: General lead agency budgetary funding for a specific program that supports this data element.,400,2,Federal agency,,string,text,,Federal agency: General lead agency budgetary funding for a specific program that supports this data element.,,
0,25,443,B,Q,BQ,0,69,54,,,"Federal interagency: Agreements between two or more different Federal Department(s), Agency(ies), Bureau(s), and/or Office(s) provide funding for a specific program that supports this data element or the data element itself.",400,3,Federal interagency,,string,text,,"Federal interagency: Agreements between two or more different Federal Department(s), Agency(ies), Bureau(s), and/or Office(s) provide funding for a specific program that supports this data element or the data element itself.",,
0,25,444,B,R,BR,0,70,55,,,Tribal government: Tribal government(s) provide funding for a specific program that supports this data element or the data element itself.,400,4,Tribal government,,string,text,,Tribal government: Tribal government(s) provide funding for a specific program that supports this data element or the data element itself.,,
0,25,445,B,S,BS,0,71,56,,,State agency: General agency budgetary provides funding for a specific program that supports this data element or for the data element itself.,400,5,State agency,,string,text,,State agency: General agency budgetary provides funding for a specific program that supports this data element or for the data element itself.,,
0,25,446,B,T,BT,0,72,57,,,State interagency: Agreements between two or more state agencies provide funding for a specific program that supports this data element or the data element itself.,400,6,State interagency,,string,text,,State interagency: Agreements between two or more state agencies provide funding for a specific program that supports this data element or the data element itself.,,
0,25,447,B,U,BU,0,73,58,,,Local government: Local government(s) provide funding for a specific program that supports this data element or the data element itself.,400,7,Local government,,string,text,,Local government: Local government(s) provide funding for a specific program that supports this data element or the data element itself.,,
0,25,448,B,V,BV,0,74,59,,,International: One or more international governments or international non-governmental organizations provide funding for a specific program that supports this data element or the data element itself.,400,8,International,,string,text,,International: One or more international governments or international non-governmental organizations provide funding for a specific program that supports this data element or the data element itself.,,
0,25,449,B,W,BW,0,75,60,,,Academia: Educational or academic institutions provide funding for a specific program that supports this data element or the data element itself.,400,9,Academia,,string,text,,Academia: Educational or academic institutions provide funding for a specific program that supports this data element or the data element itself.,,
0,25,450,B,X,BX,0,76,61,,,Professional association: Professional association(s) provide funding for a specific program that supports this data element or the data element itself.,400,10,Professional association,,string,text,,Professional association: Professional association(s) provide funding for a specific program that supports this data element or the data element itself.,,
0,25,451,B,Y,BY,0,77,62,,,Non-profit organization: Non-profit or not-for-profit organizations provide funding for a specific program that supports this data element or the data element itself.,400,11,Non-profit organization,,string,text,,Non-profit organization: Non-profit or not-for-profit organizations provide funding for a specific program that supports this data element or the data element itself.,,
0,25,452,B,Z,BZ,0,78,63,,,Consortium: Multiple governmental and/or non-governmental entities have formed a consortium to provide funding for a specific program that supports this data element or the data element itself.,400,12,Consortium,,string,text,,Consortium: Multiple governmental and/or non-governmental entities have formed a consortium to provide funding for a specific program that supports this data element or the data element itself.,,
0,25,453,C,A,CA,0,79,64,,,Private sector: Private sector company(ies) provide funding for a specific program that supports this data element or the data element itself.,400,13,Private sector,,string,text,,Private sector: Private sector company(ies) provide funding for a specific program that supports this data element or the data element itself.,,
0,25,454,C,B,CB,0,80,65,,,Other (please specify),400,0,Other,,string,text,,Other: [User defined; required comment field appears when selected] ,,
1,26,461,C,C,CC,1,81,66,KnowlXferProc,"QID 010 Are there processes and tools in place so that staff are sufficiently knowledgeable to ensure the continuity of the dataset for all stages of the lifecycle, especially during staffing transitions?",No process is in place,400,1,No process,0,ordinal,factor,,No process is in place,,
1,26,462,C,D,CD,1,82,,,,Under development,400,2,Under development,1,ordinal,factor,,Under development,,
1,26,463,C,E,CE,1,83,,,,"Developed, documented, and implementation started",400,3,Initiated,2,ordinal,factor,,"Developed, documented, and implementation started",,
1,26,464,C,F,CF,1,84,,,,Implementation progressing,400,4,Progressing,3,ordinal,factor,,Implementation progressing,,
1,26,465,C,G,CG,1,85,,,,Implementation well established,400,5,Well established,4,ordinal,factor,,Implementation well established,,
1,26,466,C,H,CH,1,86,,,,Fully implemented including recurring assessments,400,6,Fully implemented,5,ordinal,factor,,Fully implemented including recurring assessments,,
1,27,501,C,I,CI,1,87,67,Authoritative,QID 102 Is the data element authoritative?,No information,500,1,No information,0,ordinal,factor,,No information,,
1,27,502,C,J,CJ,1,88,,,,"Not authoritative, but best available",500,2,Not authoritative & best avail,1,ordinal,factor,,"Not authoritative, but best available",,
1,27,503,C,K,CK,1,89,,,,1-25% authoritative,500,3,1-25% authoritative,2,ordinal,factor,,1-25% authoritative,,
1,27,504,C,L,CL,1,90,,,,25-50% authoritative,500,4,25-50% authoritative,3,ordinal,factor,,25-50% authoritative,,
1,27,505,C,M,CM,1,91,,,,50-75% authoritative,500,5,50-75% authoritative,4,ordinal,factor,,50-75% authoritative,,
1,27,506,C,N,CN,1,92,,,,75-100% authoritative,500,6,75-100% authoritative,5,ordinal,factor,,75-100% authoritative,,
1,28,511,C,O,CO,1,93,68,StndOGIC,QID 014 Does this data element have a standard that has been endorsed by Oregon Geographic Information Council?,"Data standard is desired, but is not planned",500,1,Desired,0,ordinal,factor,,"Data standard is desired, but is not planned",,
1,28,512,C,P,CP,1,94,,,,Planned but with no resources available to achieve the capability,500,2,Planned-no resources,1,ordinal,factor,,Planned but with no resources available to achieve the capability,,
1,28,513,C,Q,CQ,1,95,,,,Planned and with resources available to achieve the capability,500,3,Planned-resources avail,2,ordinal,factor,,Planned and with resources available to achieve the capability,,
1,28,514,C,R,CR,1,96,,,,In progress but with only partial resources available to achieve the capability,500,4,In progress-partial resources,3,ordinal,factor,,In progress but with only partial resources available to achieve the capability ,,
1,28,515,C,S,CS,1,97,,,,In progress with full resources available to achieve the capability,500,5,In progress-full resources,4,ordinal,factor,,In progress with full resources available to achieve the capability,,
1,28,516,C,T,CT,1,98,,,,Fully implemented,500,6,Fully implemented,5,ordinal,factor,,Fully implemented ,,
1,28,517,C,U,CU,1,99,,,,Not Applicable (please select this response if the data uses a standard that is not endorsed by Oregon Geographic Information Council),500,7,NA,0,ordinal,factor,,Not Applicable (please select this response if data uses a standard not endorsed by Oregon Geographic Information Council),,
0,29,521,C,V,CV,0,100,69,StndType,QID 015 What type of data standard is used for this data element?,FGDC-endorsed,500,1,FGDC,,string,factor,,FGDC-endorsed,,
0,29,522,C,W,CW,0,101,70,StndTypeComm,,Other (please specify),500,0,Other,,Open-Ended Response,factor,,Other (please explain),,"separate ""Other"" from subsequent open-ended comments"
0,30,523,C,X,CX,1,102,71,StndType2,QID 015 What type of data standard is used for this data element?,FGDC-endorsed,500,1,FGDC,,string,factor,,,Duplicated question,Omit from analysis
0,30,524,C,Y,CY,1,103,72,StndType2Comm,,Other (please specify),500,0,Other,,Open-Ended Response,factor,,,,"separate ""Other"" from subsequent open-ended comments"
1,31,531,C,Z,CZ,1,104,73,QAProc,QID 011 Is there a quality assurance process for the dataset?,No process is in place,500,1,No process,0,ordinal,factor,,No process is in place,,
1,31,532,D,A,DA,1,105,,,,Under development,500,2,Under development,1,ordinal,factor,,Under development,,
1,31,533,D,B,DB,1,106,,,,"Developed, documented, and implementation started",500,3,Developed,2,ordinal,factor,,"Developed, documented, and implementation started",,
1,31,534,D,C,DC,1,107,,,,Implementation progressing,500,4,Progressing,3,ordinal,factor,,Implementation progressing,,
1,31,535,D,D,DD,1,108,,,,Implementation well established,500,5,Well established,4,ordinal,factor,,Implementation well established,,
1,31,536,D,E,DE,1,109,,,,Fully implemented including recurring assessments,500,6,Fully implemented,5,ordinal,factor,,Fully implemented including recurring assessments,,
0,32,541,D,F,DF,1,110,74,QAProcType,QID 012 What methods are used to develop and complete quality assurance assessments?,"Internal quality assurance assessment: A defined review process is undertaken by agency personnel through quality evaluation, testing, or other manual or automated methods.",500,1,Internal,,nominal,factor,,"Internal quality assurance assessment: A defined review process is undertaken by agency personnel through quality evaluation, testing, or other manual or automated methods.",,
0,32,542,D,G,DG,1,111,,,,"External quality assurance assessment: Third-party organizations undertake a quality review or evaluation. This can be partners, stakeholders, and/or users reviewing the dataset to assure that requirements are being met.",500,2,External,,nominal,factor,,"External quality assurance assessment: Third-party organizations undertake a quality review or evaluation. This can be partners, stakeholders, and/or users reviewing the dataset to assure that requirements are being met.",,
0,32,543,D,H,DH,1,112,75,QAProcTypeComm,,Other (please specify),500,0,Other,,string,factor,,Other: [User defined; required comment field appears when selected] ,,"separate ""Other"" from subsequent open-ended comments"
1,33,541,D,I,DI,1,113,76,EvalSensPrivConf,"QID 013 Has an assessment been done to evaluate the sensitivity, privacy, and confidentiality of this dataset?",No assessment has been done (Please explain),500,1,No assessment,0,ordinal,factor,,No assessment has been done (Please explain),,
1,33,542,D,J,DJ,1,114,,,,Under development (Please explain),500,2,Under development,1,ordinal,factor,,Under development (Please explain),,
1,33,543,D,K,DK,1,115,,,,"Developed, documented, and implementation started",500,3,Initiated,2,ordinal,factor,,"Developed, documented, and implementation started",,
1,33,544,D,L,DL,1,116,,,,Implementation progressing,500,4,Progressing,3,ordinal,factor,,Implementation progressing,,
1,33,545,D,M,DM,1,117,,,,Implementation well established,500,5,Well established,4,ordinal,factor,,Implementation well established,,
1,33,546,D,N,DN,1,118,,,,Fully implemented including recurring assessments,500,6,Fully implemented,5,ordinal,factor,,Fully implemented including recurring assessments,,
1,33,547,D,O,DO,1,119,77,EvalSensPrivConfComm,,Please explain here,500,0,Comments,,Open-Ended Response,factor,,,,
1,34,551,D,P,DP,1,120,78,BusCase,"QID 101 Is there a business case, business requirements, or similar document for this data element?","Documentation is desired, but is not planned",500,1,Desired,0,ordinal,factor,,"Documentation is desired, but is not planned",,
1,34,552,D,Q,DQ,1,121,,,,Planned but with no resources available to achieve the capability,500,2,Planned w no resources,1,ordinal,factor,,Planned but with no resources available to achieve the capability,,
1,34,553,D,R,DR,1,122,,,,Planned and with resources available to achieve the capability,500,3,Planned w resources,2,ordinal,factor,,Planned and with resources available to achieve the capability,,
1,34,554,D,S,DS,1,123,,,,In progress but with only partial resources available to achieve the capability,500,4,In progress w partial resources,3,ordinal,factor,,In progress but with only partial resources available to achieve the capability ,,
1,34,555,D,T,DT,1,124,,,,In progress with full resources available to achieve the capability,500,5,In progress w full resources,4,ordinal,factor,,In progress with full resources available to achieve the capability,,
1,34,556,D,U,DU,1,125,,,,Fully implemented,500,6,Fully implemented,5,ordinal,factor,,Fully implemented,,
1,35,601,D,V,DV,1,126,79,EvalRedndcy,QID 016 Has an assessment been done to determine if data meeting data element requirements already exists from other sources (either within or outside Oregon?s GIS Framework) before collecting or acquiring new data?,No assessment has been done,600,1,No assessment,0,ordinal,factor,,No assessment has been done (Please explain),,
1,35,602,D,W,DW,1,127,,,,Under development,600,2,Under development,1,ordinal,factor,,Under development (Please explain),,
1,35,603,D,X,DX,1,128,,,,"Developed, documented, and implementation started",600,3,Initiated,2,ordinal,factor,,"Developed, documented, and implementation started",,
1,35,604,D,Y,DY,1,129,,,,Implementation progressing,600,4,Progressing,3,ordinal,factor,,Implementation progressing,,
1,35,605,D,Z,DZ,1,130,,,,Implementation well established,600,5,Well established,4,ordinal,factor,,Implementation well established,,
1,35,606,E,A,EA,1,131,,,,Fully implemented including recurring assessments,600,6,Fully implemented,5,ordinal,factor,,Fully implemented including recurring assessments,,
0,36,611,E,B,EB,0,132,80,EvalRedType,QID 017 What actions are/were performed to determine if data already exists from other sources?,"Internal research and evaluation: The lead federal agency conducts research to identify whether other potential sources and datasets exist, including GeoPlatform.gov Marketplace research.",600,1,Internal,,nominal,factor,,"Internal research and evaluation: The lead federal agency conducts research to identify whether other potential sources and datasets exist, including GeoPlatform.gov Marketplace research.",,
0,36,612,E,C,EC,0,133,,,,External research and evaluation: External stakeholders and partners conduct research to identify whether other potential sources and datasets exist.,600,2,External,,nominal,factor,,External research and evaluation: External stakeholders and partners conduct research to identify whether other potential sources and datasets exist.,,
0,36,613,E,D,ED,0,134,,,,Suitability review of datasets: Datasets identified that may meet mission requirements undergo suitability review or testing.,600,3,Suitability review,,nominal,factor,,Suitability review of datasets: Datasets identified that may meet mission requirements undergo suitability review or testing.,,
0,36,614,E,E,EE,0,135,,,,Data accuracy review: Datasets identified that may meet mission requirements undergo more extensive accuracy review or testing.,600,4,Data accuracy review,,nominal,factor,,Data accuracy review: Datasets identified that may meet mission requirements undergo more extensive accuracy review or testing.,,
0,36,615,E,F,EF,0,136,,,,Use limitations/ restrictions review: Datasets identified that may meet mission requirements undergo use limitations or restrictions review.,600,5,Use limitations review,,nominal,factor,,Use limitations/ restrictions review: Datasets identified that may meet mission requirements undergo use limitations or restrictions review.,,
0,36,616,E,G,EG,0,137,,,,Financial cost/impacts evaluation: Datasets identified that may meet mission requirements undergo review for potential financial costs or savings.,600,6,Financial cost/impacts eval,,nominal,factor,,Financial cost/impacts evaluation: Datasets identified that may meet mission requirements undergo review for potential financial costs or savings.,,
0,36,617,E,H,EH,0,138,81,EvalRedTypeComm,,Other (please specify),600,0,Other,,Open-Ended Response,factor,,Other: [User defined; required comment field appears when selected],,"separate ""Other"" from subsequent open-ended comments"
1,37,701,E,I,EI,1,139,82,ObtnProc,QID 018 Is there a process for obtaining data for this dataset?,No process is in place,700,1,No process,0,ordinal,factor,,No process is in place,,
1,37,702,E,J,EJ,1,140,,,,Under development,700,2,Under development,1,ordinal,factor,,Under development,,
1,37,703,E,K,EK,1,141,,,,"Developed, documented, and implementation started",700,3,Initiated,2,ordinal,factor,,"Developed, documented, and implementation started",,
1,37,704,E,L,EL,1,142,,,,Implementation progressing,700,4,Progressing,3,ordinal,factor,,Implementation progressing,,
1,37,705,E,M,EM,1,143,,,,Implementation well established,700,5,Well established,4,ordinal,factor,,Implementation well established,,
1,37,706,E,N,EN,1,144,,,,Fully implemented including recurring assessments,700,6,Fully implemented,5,ordinal,factor,,Fully implemented including recurring assessments,,
0,38,711,E,O,EO,1,145,83,ObtnProcType,QID 019 (optional) What actions are or were performed to obtain data?,Obtain data by purchasing,700,1,Purchase,,nominal,factor,,Obtain data by purchasing ,,
0,38,712,E,P,EP,1,146,,,,"Obtain data by modifying, converting, or transforming data",700,2,Modifying,,nominal,factor,,"Obtain data by modifying, converting, or transforming data ",,
0,38,713,E,Q,EQ,1,147,,,,"Obtain data by sharing, exchanging, or aggregating existing data",700,3,Sharing existing,,nominal,factor,,"Obtain data by sharing, exchanging, or aggregating existing data",,
0,38,714,E,R,ER,1,148,,,,Obtain data by creating and/or collecting the data,700,4,Creating,,nominal,factor,,Obtain data by creating and/or collecting the data ,,
0,38,715,E,S,ES,1,149,84,ObtnProcTypeComm,,Other (please specify),700,0,Other,,nominal,factor,,Other  ÿ[User defined; required comment field appears when selected],,"separate ""Other"" from subsequent open-ended comments"
1,39,721,E,T,ET,1,150,85,StndMetad,QID 020 Is the metadata in an OGIC-endorsed metadata standard?,No metadata or is not in an OGIC-endorsed standard,700,1,No metadata,0,ordinal,factor,,No metadata or is not in an OGIC-endorsed standard,,
1,39,722,E,U,EU,1,151,,,,OGIC-endorsed metadata is under development,700,2,OGIC metadata under dev,3,ordinal,factor,,OGIC-endorsed metadata is under development,,
1,39,723,E,V,EV,1,152,,,,"OGIC-endorsed metadata is developed, associated with the data as an XML or similar file format, and available via the Oregon Spatial Data Library",700,3,OGIC metadata complete,5,ordinal,factor,,"OGIC-endorsed metadata is developed, associated with the data as an XML or similar file format, and available via the Oregon Spatial Data Library",,
1,40,731,E,W,EW,1,153,86,CmpltnssExtnt,QID 021 What is the estimated completeness of the geographic extent of the data element?,Geographic extent is 0% complete and/or business requirements have not been defined,700,1,0% complete/no business reqs,0,ordinal,factor,,Geographic extent is 0% complete and/or business requirements have not been defined ,,
1,40,732,E,X,EX,1,154,,,,Geographic extent is between 1-25% complete based on business requirements,700,2,1-25% complete,1,ordinal,factor,,Geographic extent is between 1-25% complete based on business requirements ,,
1,40,733,E,Y,EY,1,155,,,,Geographic extent is more than 25% but less than 50% complete based on business requirements,700,3,25 to <50% complete,2,ordinal,factor,,Geographic extent is more than 25% but less than 50% complete based on business requirements ,,
1,40,734,E,Z,EZ,1,156,,,,Geographic extent is more than 50% but less than 75% complete based on business requirements,700,4,50 to <75% complete,3,ordinal,factor,,Geographic extent is more than 50% but less than 75% complete based on business requirements ,,
1,40,735,F,A,FA,1,157,,,,Geographic extent is more than 75% but less than 100% complete based on business requirements,700,5,75 to <100 complete,4,ordinal,factor,,Geographic extent is more than 75% but less than 100% complete based on business requirements ,,
