"","ID.x","DataElem","Theme","QuesID","Response","MaturityVar","PointValue","PtVal_int","ID.y","unite.","VarID","VarID.condnsd","VarName","Field.Question","Drop"
"20",139,"Aquatic Habitat","Bioscience",22,"Inconsistent",1,"1",1,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"21",140,"anadromous fish abundance","Bioscience",22,"Recurring",1,"5",5,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"22",140,"Anadromous Fish Abundance","Bioscience",22,"Inconsistent",1,"1",1,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"23",141,"Geology","Geoscience",22,"Recurring",1,"5",5,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"24",142,"Soil","Geoscience",22,"No process",1,"0",0,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"25",143,"Geomorphology","Geoscience",22,"No process",1,"0",0,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"26",145,"anadromous fish habitat distributions","Bioscience",22,"Inconsistent",1,"1",1,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"27",146,"Existing Vegetation","Bioscience",22,"No process",1,"0",0,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"28",146,"Wildlife Habitats","Bioscience",22,"Recurring",1,"5",5,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"29",149,"Wildlife Species Habitat Suitability maps","Bioscience",22,"Planned",1,"2",2,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"30",150,"fish stock status","Bioscience",22,"Inconsistent",1,"1",1,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"31",151,"hatchery release locations","Bioscience",22,"No process",1,"0",0,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"32",158,"Land Use","LULC",22,"Exists-adequate",1,"4",4,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"33",162,"Debris Flow Hazard Zone","Hazards",22,"Inconsistent",1,"1",1,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"34",164,"hazards/earthquake hazard","Hazards",22,"No process",1,"0",0,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"35",167,"Tsunami inundation zone","Hazards",22,"No process",1,"0",0,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"36",172,"Hazardous Materials Sites","Preparedness",22,"Exists-adequate",1,"4",4,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"37",174,"precipitation - 24-hour intensity","Climate",22,"Exists-adequate",1,"4",4,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"38",177,"Temperature - monthly and annual normals","Climate",22,"Recurring",1,"5",5,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"39",178,"temperature - mean first/last 32 deg F dates","Climate",22,"No process",1,"0",0,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"40",179,"snowfall - monthly & annual","Climate",22,"Planned",1,"2",2,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"41",180,"snow water equivalent","Climate",22,"Recurring",1,"5",5,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"42",181,"temperature - historic daily max &min","Climate",22,"Recurring",1,"5",5,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"43",183,"soil freeze depth","Climate",22,"Exists-adequate",1,"4",4,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"44",184,"temperature ranges","Climate",22,"No process",1,"0",0,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"45",185,"wind flow - monthly","Climate",22,"Inconsistent",1,"1",1,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"46",186,"solar radiation - monthly average","Climate",22,"Planned",1,"2",2,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"47",187,"cloud cover - monthly average","Climate",22,"Exists-inadequate",1,"3",3,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"48",197,"Emergency Reference Data Stations","Preparedness",22,"Exists-inadequate",1,"3",3,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"49",198,"Evacuation Routes","Preparedness",22,"No process",1,"0",0,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"50",199,"Monuments/Icons","Preparedness",22,"No process",1,"0",0,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"51",200,"Public Safety Station Locations","Preparedness",22,"No process",1,"0",0,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"52",207,"Schools","Preparedness",22,"Exists-adequate",1,"4",4,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"53",210,"commercial datasets","Climate",22,"Inconsistent",1,"1",1,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"54",211,"fog occurrence in western Oregon","Climate",22,"Exists-adequate",1,"4",4,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"55",212,"precipitation - historic monthly","Climate",22,"Exists-adequate",1,"4",4,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"56",222,"Emergency Facilities","Preparedness",22,"Inconsistent",1,"1",1,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"57",224,"State Police Operations","Preparedness",22,"Recurring",1,"5",5,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"58",224,"State Police Post Boundaries","Preparedness",22,"No process",1,"0",0,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"59",228,"temperature - historic monthly max & min","Climate",22,"Recurring",1,"5",5,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"60",240,"Elevation Bands","Elevation",22,"Inconsistent",1,"1",1,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"61",243,"Correctional Facilities","Preparedness",22,"No process",1,"0",0,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"62",254,"Naturally Occurring Hazardous Materials","Hazards",22,"No process",1,"0",0,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"63",273,"fish passage barriers","Bioscience",22,"Inconsistent",1,"1",1,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"64",278,"stream gages","Hydrography",22,"Recurring",1,"5",5,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"65",3,"Taxlots","Cadastral",22,"Recurring",1,"5",5,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"66",44,"Non-Attainment Areas (National Ambient Air Quality Stds)","Admin Bnds",22,"Inconsistent",1,"1",1,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"67",45,"Oil Spill Geographic Response Areas","Admin Bnds",22,"No process",1,"0",0,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"68",50,"Public Safety Response Areas","Preparedness",22,"No process",1,"0",0,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"69",67,"Urban Growth Boundaries","Admin Bnds",22,"Inconsistent",1,"1",1,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"70",83,"Cities","Preparedness",22,"Inconsistent",1,"1",1,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"71",86,"Historic Sites","LULC",22,"No process",1,"0",0,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"72",89,"Health Care Facilities","Preparedness",22,"Exists-adequate",1,"4",4,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"73",90,"Stadiums","Preparedness",22,"No process",1,"0",0,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"74",91,"dam facilities","Preparedness",22,"No process",1,"0",0,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"75",92,"Commercial Key Assets","Preparedness",22,"Inconsistent",1,"1",1,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"76",94,"Road centerlines","Transportation",22,"Inconsistent",1,"1",1,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"77",119,"Elevation Contours","Elevation",26,"Progressing",1,"3",3,461,1,81,66,"KnowlXferProc","QID 010 Are there processes and tools in place so that staff are sufficiently knowledgeable to ensure the continuity of the dataset for all stages of the lifecycle, especially during staffing transitions?",0
"78",121,"Aspect","Elevation",26,"Under development",1,"1",1,461,1,81,66,"KnowlXferProc","QID 010 Are there processes and tools in place so that staff are sufficiently knowledgeable to ensure the continuity of the dataset for all stages of the lifecycle, especially during staffing transitions?",0
"79",122,"bathymetry","Elevation",26,"Fully implemented",1,"5",5,461,1,81,66,"KnowlXferProc","QID 010 Are there processes and tools in place so that staff are sufficiently knowledgeable to ensure the continuity of the dataset for all stages of the lifecycle, especially during staffing transitions?",0
"80",123,"watercourses","Hydrography",26,"Well established",1,"4",4,461,1,81,66,"KnowlXferProc","QID 010 Are there processes and tools in place so that staff are sufficiently knowledgeable to ensure the continuity of the dataset for all stages of the lifecycle, especially during staffing transitions?",0
"81",13,"Vehicle Inspection Areas","Admin Bnds",26,"Fully implemented",1,"5",5,461,1,81,66,"KnowlXferProc","QID 010 Are there processes and tools in place so that staff are sufficiently knowledgeable to ensure the continuity of the dataset for all stages of the lifecycle, especially during staffing transitions?",0
"82",139,"Aquatic Habitat","Bioscience",26,"Under development",1,"1",1,461,1,81,66,"KnowlXferProc","QID 010 Are there processes and tools in place so that staff are sufficiently knowledgeable to ensure the continuity of the dataset for all stages of the lifecycle, especially during staffing transitions?",0
"83",149,"Wildlife Species Habitat Suitability maps","Bioscience",26,"Under development",1,"1",1,461,1,81,66,"KnowlXferProc","QID 010 Are there processes and tools in place so that staff are sufficiently knowledgeable to ensure the continuity of the dataset for all stages of the lifecycle, especially during staffing transitions?",0
"84",181,"temperature - historic daily max &min","Climate",26,"Progressing",1,"3",3,461,1,81,66,"KnowlXferProc","QID 010 Are there processes and tools in place so that staff are sufficiently knowledgeable to ensure the continuity of the dataset for all stages of the lifecycle, especially during staffing transitions?",0
"85",185,"wind flow - monthly","Climate",26,"Well established",1,"4",4,461,1,81,66,"KnowlXferProc","QID 010 Are there processes and tools in place so that staff are sufficiently knowledgeable to ensure the continuity of the dataset for all stages of the lifecycle, especially during staffing transitions?",0
"86",211,"fog occurrence in western Oregon","Climate",26,"Well established",1,"4",4,461,1,81,66,"KnowlXferProc","QID 010 Are there processes and tools in place so that staff are sufficiently knowledgeable to ensure the continuity of the dataset for all stages of the lifecycle, especially during staffing transitions?",0
"87",83,"Cities","Preparedness",26,"Under development",1,"1",1,461,1,81,66,"KnowlXferProc","QID 010 Are there processes and tools in place so that staff are sufficiently knowledgeable to ensure the continuity of the dataset for all stages of the lifecycle, especially during staffing transitions?",0
"88",94,"Road centerlines","Transportation",26,"Well established",1,"4",4,461,1,81,66,"KnowlXferProc","QID 010 Are there processes and tools in place so that staff are sufficiently knowledgeable to ensure the continuity of the dataset for all stages of the lifecycle, especially during staffing transitions?",0
"89",10,"City & County Comprehensive Plans","Admin Bnds",27,"75-100%",1,"5",5,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"90",101,"Oregon Zoning","Admin Bnds",27,"75-100%",1,"5",5,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"91",108,"Military Facilities","Preparedness",27,"No information",1,"0",0,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"92",11,"City Limits","Admin Bnds",27,"75-100%",1,"5",5,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"93",114,"0.5-meter DOQs","Imagery",27,"75-100%",1,"5",5,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"94",115,"1-meter DOQs","Imagery",27,"75-100%",1,"5",5,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"95",118,"Digital evelation models","Elevation",27,"50-75%",1,"4",4,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"96",119,"Elevation Contours","Elevation",27,"75-100%",1,"5",5,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"97",121,"Aspect","Elevation",27,"75-100%",1,"5",5,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"98",122,"bathymetry","Elevation",27,"75-100%",1,"5",5,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"99",122,"Nearshore and Estuarine Bathymetry","Elevation",27,"Best available",1,"1",1,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"100",123,"watercourses","Hydrography",27,"75-100%",1,"5",5,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"101",124,"water bodies","Hydrography",27,"75-100%",1,"5",5,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"102",125,"Water body shorelines","Hydrography",27,"50-75%",1,"4",4,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"103",127,"hydrologic units (1st-6th fields)","Hydrography",27,"No information",1,"0",0,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"104",128,"water supply & transmission facilities","Utilities",27,"75-100%",1,"5",5,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"105",129,"electric generation & transmission facilities","Utilities",27,"75-100%",1,"5",5,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"106",13,"air quality maintenance areas","Admin Bnds",27,"Best available",1,"1",1,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"107",13,"Vehicle Inspection Areas","Admin Bnds",27,"75-100%",1,"5",5,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"108",139,"Aquatic Habitat","Bioscience",27,"75-100%",1,"5",5,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"109",140,"anadromous fish abundance","Bioscience",27,"75-100%",1,"5",5,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"110",140,"Anadromous Fish Abundance","Bioscience",27,"No information",1,"0",0,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"111",141,"Geology","Geoscience",27,"75-100%",1,"5",5,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"112",142,"Soil","Geoscience",27,"Best available",1,"1",1,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"113",143,"Geomorphology","Geoscience",27,"75-100%",1,"5",5,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"114",145,"anadromous fish habitat distributions","Bioscience",27,"75-100%",1,"5",5,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"115",146,"Existing Vegetation","Bioscience",27,"No information",1,"0",0,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"116",146,"Wildlife Habitats","Bioscience",27,"75-100%",1,"5",5,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"117",149,"Wildlife Species Habitat Suitability maps","Bioscience",27,"Best available",1,"1",1,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"118",150,"fish stock status","Bioscience",27,"Best available",1,"1",1,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"119",151,"hatchery release locations","Bioscience",27,"75-100%",1,"5",5,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"120",158,"Land Use","LULC",27,"75-100%",1,"5",5,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"121",162,"Debris Flow Hazard Zone","Hazards",27,"1-25%",1,"2",2,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"122",164,"hazards/earthquake hazard","Hazards",27,"75-100%",1,"5",5,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"123",167,"Tsunami inundation zone","Hazards",27,"No information",1,"0",0,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"124",172,"Hazardous Materials Sites","Preparedness",27,"75-100%",1,"5",5,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"125",174,"precipitation - 24-hour intensity","Climate",27,"75-100%",1,"5",5,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"126",177,"Temperature - monthly and annual normals","Climate",27,"75-100%",1,"5",5,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"127",178,"temperature - mean first/last 32 deg F dates","Climate",27,"No information",1,"0",0,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"128",179,"snowfall - monthly & annual","Climate",27,"75-100%",1,"5",5,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"129",180,"snow water equivalent","Climate",27,"75-100%",1,"5",5,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"130",181,"temperature - historic daily max &min","Climate",27,"75-100%",1,"5",5,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"131",183,"soil freeze depth","Climate",27,"75-100%",1,"5",5,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"132",184,"temperature ranges","Climate",27,"Best available",1,"1",1,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"133",185,"wind flow - monthly","Climate",27,"Best available",1,"1",1,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"134",186,"solar radiation - monthly average","Climate",27,"75-100%",1,"5",5,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"135",187,"cloud cover - monthly average","Climate",27,"75-100%",1,"5",5,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"136",197,"Emergency Reference Data Stations","Preparedness",27,"Best available",1,"1",1,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"137",198,"Evacuation Routes","Preparedness",27,"75-100%",1,"5",5,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"138",199,"Monuments/Icons","Preparedness",27,"No information",1,"0",0,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"139",200,"Public Safety Station Locations","Preparedness",27,"75-100%",1,"5",5,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"140",207,"Schools","Preparedness",27,"1-25%",1,"2",2,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"141",210,"commercial datasets","Climate",27,"Best available",1,"1",1,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"142",211,"fog occurrence in western Oregon","Climate",27,"75-100%",1,"5",5,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"143",212,"precipitation - historic monthly","Climate",27,"75-100%",1,"5",5,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"144",222,"Emergency Facilities","Preparedness",27,"Best available",1,"1",1,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"145",224,"State Police Operations","Preparedness",27,"75-100%",1,"5",5,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"146",224,"State Police Post Boundaries","Preparedness",27,"No information",1,"0",0,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"147",228,"temperature - historic monthly max & min","Climate",27,"75-100%",1,"5",5,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"148",240,"Elevation Bands","Elevation",27,"No information",1,"0",0,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"149",243,"Correctional Facilities","Preparedness",27,"Best available",1,"1",1,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"150",254,"Naturally Occurring Hazardous Materials","Hazards",27,"75-100%",1,"5",5,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"151",273,"fish passage barriers","Bioscience",27,"75-100%",1,"5",5,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"152",278,"stream gages","Hydrography",27,"75-100%",1,"5",5,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"153",3,"Taxlots","Cadastral",27,"75-100%",1,"5",5,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"154",44,"Non-Attainment Areas (National Ambient Air Quality Stds)","Admin Bnds",27,"75-100%",1,"5",5,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"155",45,"Oil Spill Geographic Response Areas","Admin Bnds",27,"75-100%",1,"5",5,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"156",50,"Public Safety Response Areas","Preparedness",27,"50-75%",1,"4",4,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"157",67,"Urban Growth Boundaries","Admin Bnds",27,"75-100%",1,"5",5,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"158",83,"Cities","Preparedness",27,"75-100%",1,"5",5,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"159",86,"Historic Sites","LULC",27,"No information",1,"0",0,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"160",89,"Health Care Facilities","Preparedness",27,"75-100%",1,"5",5,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"161",90,"Stadiums","Preparedness",27,"No information",1,"0",0,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"162",91,"dam facilities","Preparedness",27,"Best available",1,"1",1,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"163",92,"Commercial Key Assets","Preparedness",27,"75-100%",1,"5",5,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"164",94,"Road centerlines","Transportation",27,"75-100%",1,"5",5,501,1,87,67,"Authoritative","QID 102 Is the data element authoritative?",0
"165",10,"City & County Comprehensive Plans","Admin Bnds",28,"Desired",1,"0",0,511,1,93,68,"StndOGIC","QID 014 Does this data element have a standard that has been endorsed by Oregon Geographic Information Council?",0
"166",11,"City Limits","Admin Bnds",28,"Fully implemented",1,"5",5,511,1,93,68,"StndOGIC","QID 014 Does this data element have a standard that has been endorsed by Oregon Geographic Information Council?",0
"167",114,"0.5-meter DOQs","Imagery",28,"Planned-resrcs avail",1,"2",2,511,1,93,68,"StndOGIC","QID 014 Does this data element have a standard that has been endorsed by Oregon Geographic Information Council?",0
"168",115,"1-meter DOQs","Imagery",28,"Planned-resrcs avail",1,"2",2,511,1,93,68,"StndOGIC","QID 014 Does this data element have a standard that has been endorsed by Oregon Geographic Information Council?",0
"169",118,"Digital evelation models","Elevation",28,"In progress-full resrcs",1,"4",4,511,1,93,68,"StndOGIC","QID 014 Does this data element have a standard that has been endorsed by Oregon Geographic Information Council?",0
"170",119,"Elevation Contours","Elevation",28,"Fully implemented",1,"5",5,511,1,93,68,"StndOGIC","QID 014 Does this data element have a standard that has been endorsed by Oregon Geographic Information Council?",0
"171",121,"Aspect","Elevation",28,"Fully implemented",1,"5",5,511,1,93,68,"StndOGIC","QID 014 Does this data element have a standard that has been endorsed by Oregon Geographic Information Council?",0
